speaker,Position,Type,Party,speaker_std,notes,
Vladimir Montesinos,Alberto Fujimori's Chief os Staff; Mastermind of the Vladivideos Scandal,MONTESINOS,,MONTESINOS,,
Desconocido,,,,DESCONOCIDO,,
Alexander Martin Kouri Bumachar,Elected Constituent Congressman (1992 - 1995) for the Partido Popular Cristiano (national right-wing political party). Elected Mayor of Callao three times (1996 - 2006) for the Independent Movement Chim Pum Callao (right-wing regional movement).,Congress,Partido Popular Cristiano (PPC),KOURI,,
Lucchetti,Company specialized in pasta manufacturing,Businessperson,,LUCCHETTI,"Lucchetti -- name of company, not name of person. when they refer to ""el senor lucchetti"" in transcripts, sometimes refers to Luksic, sometimes might refer to unknown employee of Lucchetti factories ",
Carlos Eduardo Ferrero Costa,Congressman (1995-2000),Congress,Cambio 90_Nueva Mayoria,FERRERO,"Multiple Ferrero Costa in Peruvian politics. There is a Carlos and an Eduardo, but not a Carlos Eduardo.",Already completed
Alberto Fujimori,President of Peru (1990-2000),Elected Official,,FUJIMORI,,Needs editing
Lori Berenson,"American who aided guerrillas in Peru, arrested",Foreign,,BERENSON,,Can't write (give short reason in notes column) 
"Anonymous ""el Senor"" ",Ally of Montesinos with knowledge of inner working of public security and narco surveillance,Security ,,SENOR,,Repeated
Abimael Guzman,Guerrilla and terrorist leader in Peru,Illicit,,GUZMAN,,
Alberto Pascal Arbulu,"Founder of the Communist Party of Peru, which turned into Sendero Luminoso",Businessperson,,PASCAL,,
Rafael Urrelo Guerra,Congressman 1995-2000,Congress,Cambio 90_Nueva Mayoria,URRELO,,
Carlos Blanco Oropeza,Congressman 1995-2000,Congress,Cambio 90_Nueva Mayoria,BLANCO,,
Jorge Trelles Montero,Congressman 1995-2000,Congress,Cambio 90_Nueva Mayoria,TRELLES,,
Alfredo Quispe Corre,Minister of Justice 1997-1999,Judiciary,,QUISPE,,
Eduardo Pando Pacheco,Congressman 1995-2000,Congress,Cambio 90_Nueva Mayoria,PANDO,,
Miguel Velit Nunez,"Congressman 1992-1995, Presidente de la Comisión de Fiscalización del Congreso de la República 1997-2000",Congress,Cambio 90_Nueva Mayoria,VELIT,,
Ricardo Marcenaro Frers,"Congressman 1995-2000, 2000-2001; President of Congress 1999-1999",Congress,Cambio 90_Nueva Mayoria,MARCENARO,,
Adolfo Amoin Bueno,"Congressman 1995-2000, President of Tourism Comission 1997-1998",Congress,Cambio 90_Nueva Mayoria,AMOIN,,
Oscar Medelius Rodriguez,Congressman 1995-2000,Congress,Cambio 90_Nueva Mayoria,MEDELIUS,,
Jorge Ruiz Davila,Congressman 1996-2000,Congress,Cambio 90_Nueva Mayoria,RUIZ,,
Luz Salgado Rubianes de Paredes,"Congresswoman 1995-2001, President of Congress 2016-2017",Congress,Cambio 90_Nueva Mayoria,SALGADO,,
Victor Joy Way Rojas,"Congressman and President of Congress 1995-2000, 2001-2006 President of the Council of Ministers 1999-1999, Secretary of Economy and Finance 1999-1999",Congress,Cambio 90_Nueva Mayoria,JOY WAY,,
Carmen Lozada de Gamboa,"Congresswoman 1992-1995, 1995-2000, 2000-2001",Congress,Cambio 90_Nueva Mayoria,LOZADA,,
Daniel Espichan Tumay,"Congressman 1995-2000, legal consulting",Congress,Cambio 90_Nueva Mayoria,ESPICHAN,,
Edith Mellado Cespedes,"Congresswoman 1995-2000, President of Congress (1997-1998)",Congress,Cambio 90_Nueva Mayoria,MELLADO,,
Gilperto Sirura Cespedes,Congressman 1995-2000,Congress,Cambio 90_Nueva Mayoria,SIRURA,,
Alberto Andrade,"Mayor of Lima 1996-2002, adversary to Fujimori administration",Elected Official,,ANDRADE,,
Luisa Maria Cuculiza,"Mayor of Lima Borja District 1993-1999, Minister of Women's Promotion and Social Development from 1999 to 2000",Elected Official,,CUCULIZA,,
Juan Briones Davila,Minister of the Interior 1991-1997,Bureaucrat,,DAVILA,,
Alipio Montes de Oca,Supreme Court Justice (Chief Justice),Judiciary,,MONTES DE OCA,,
Luis Serpa Seguras,President of Jurado Nacional de Elecciones,Judiciary,,SERPA,,
Victor Raul Castillo,Supreme Court Justice,Judiciary,,CASTILLO,,
Jose Dellepiane Massa,Executive Secretary of the Comisión Ejecutiva del Poder Judicial,Judiciary,,DELLEPIANE,,
Jaime Beltran Quiroga,Judge,Judiciary,,BELTRAN,,
Javier Valle Riestra Gonzalez,"Prime Minister of Peru from June-August 1998 (not from Fujimori's party, but a cautious cooperator)",Bureaucrat,,VALLE RIESTRA,,
Santander,Advisor to Javier Valle Riestra (possibly chief of staff?),Bureaucrat,,SANTANDER,,
Romulo Munoz Arce,Magistrate of the Jurado Nacional de Elecciones (JNE),Judiciary,,ARCE,,
Jose Garcia Marcelo,Magistrate of the Tribunal Constitucional,Judiciary,,MARCHELO,,
Walter Hernandez Canelo,Magistrate of the Jurado Nacional de Elecciones (JNE),Judiciary,,HERNANDEZ CANELO,,
Juan Carlos Hurtado Miller,Fujimorist politician and candidate to mayor of Lima 1998,Bureaucrat,,HURTADO MILLER,,
Daniel Borobio Guede,Advisor and Publicist to Fujimori,Bureaucrat,,BOROBIO,,
Carlos Bringas,Magistrate of the Jurado Nacional de Elecciones (JNE),Judiciary,,BRINGAS,Multiple Carlos Bringas in Peruvian politics,
Victor Ivachine,Russian pilot,Foreign,,IVACHINE,,
General Cesar Saucedo Sanchez,General in Division of Peru Armed Forces; Comandante General del Ejercito,Security,,SAUCHEDO SANCHEZ,,
Nicolas de Bari Hermoza Rios,Comandante General del Ejercito,Security,,HERMOZA RIOS,,
A.P. General Antonio Ibarcena Amico,Presumably Generals; High Command in Peru Armed Forces,Security,,IBARCENA,,
Elesvan Bello Vazquez,Presumably Generals; High Command in Peru Armed Forces,Security,,BELLO VAZQUEZ,,
General Jose Villanueva Ruesta,Military General; advisor and confidante of Montesinos,Security,,VILLANUEVA RUESTA,,
Salazar Monroe,Presumably Generals; High Command in Peru Armed Forces,Security,,MONROE,,
Luis Venero Garrido,"Brother of Alberto Venero Garrido, participated in organized crime and illegal pruchase of military equipment alongside Montesinos and Fujimori",Illicit,,VENERO,,
Coronel Roberto Huaman Azcurra,Colonel and Intelligence Advisor,Security,,HUAMAN,,
Manuel Tafur Ruiz,Congressman,Congress,Frente Independiente Moralizador (FIM),TAFUR,,
Ernesto Gamarra Olivares,Congressman with connections in El Comercio,Congress,Accion Popular (AP),GAMARRA,,
Cecilia Valenzuela,Anti-fujimorist journalist,Media,,VALENZUELA,,
