speaker,speaker_std,Position,Type,Party,notes
Vladimir Montesinos,MONTESINOS,Head of National Intelligence Service (SIN),Montesinos,NA,NA
Desconocido,DESCONOCIDO,NA,NA,NA,NA
Alexander Martin Kouri Bumachar,ALEX KOURI,"Congressman (1992-1995), Mayor of Callao from 1996",Congress,PPC,NA
Representante de Lucchetti,LUCCHETTI,Representative of the Lucchetti company in Peru (name unknown),Businessperson,NA,"The label may cover more than one individual. Lucchetti is a company, not a person; the existing note said it sometimes referred to Luksic and sometimes to an unknown employee. Not the same identifier as menendez, who speaks for Merardo Luksic in transcript 5."
Carlos Eduardo Ferrero Costa,FERRERO,Congressman (1995-2000),Congress,NM,"Multiple Ferrero Costa in Peruvian politics. There is a Carlos and an Eduardo, but not a Carlos Eduardo."
Alberto Fujimori,FUJIMORI,President of Peru (1990-2000),Elected Official,NA,NA
Lori Berenson,BERENSON,"American who aided guerrillas in Peru, arrested",Foreign,NA,NA
"Anonymous ""el Senor""",SENOR,Ally of Montesinos with knowledge of inner working of public security and narco surveillance,Security,NA,NA
Abimael Guzman,GUZMAN,Guerrilla and terrorist leader in Peru,Illicit,NA,NA
Alberto Pascal Arbulu,PASCAL,"Founder of the Communist Party of Peru, which turned into Sendero Luminoso",Businessperson,NA,NA
Rafael Urrelo Guerra,URRELO,Congressman 1995-2000,Congress,NM,NA
Carlos Blanco Oropeza,BLANCO,Congressman 1995-2000,Congress,NM,NA
Jorge Trelles Montero,TRELLES,Congressman 1995-2000,Congress,NM,NA
Alfredo Quispe Corre,QUISPE,Minister of Justice 1997-1999,Judiciary,NA,NA
Eduardo Pando Pacheco,PANDO,Congressman 1995-2000,Congress,NM,NA
Miguel Velit Nunez,VELIT,"Congressman 1992-1995, Presidente de la Comisión de Fiscalización del Congreso de la República 1997-2000",Congress,NM,NA
Ricardo Marcenaro Frers,MARCENARO,Congressman (1995-2000) and President of Congress (1999),Congress,NM,NA
Adolfo Amoin Bueno,AMOIN,"Congressman 1995-2000, President of Tourism Comission 1997-1998",Congress,NM,NA
Oscar Medelius Rodriguez,MEDELIUS,Congressman 1995-2000,Congress,NM,NA
Jorge Ruiz Davila,RUIZ,Congressman 1996-2000,Congress,NM,NA
Luz Salgado Rubianes de Paredes,SALGADO,Congresswoman from 1995,Congress,NM,NA
Victor Joy Way Rojas,JOY WAY,"Congressman and President of Congress (1995-2000), Secretary of Economy and Finance (1999)",Congress,NM,NA
Carmen Lozada de Gamboa,LOZADA,"Congresswoman (1992-1995, 1995-2000)",Congress,NM,NA
Daniel Espichan Tumay,ESPICHAN,"Congressman 1995-2000, legal consulting",Congress,NM,NA
Edith Mellado Cespedes,MELLADO,"Congresswoman 1995-2000, President of Congress (1997-1998)",Congress,NM,NA
Gilperto Sirura Cespedes,SIRURA,Congressman 1995-2000,Congress,NM,NA
Alberto Andrade,ANDRADE,"Mayor of Lima from 1996, adversary to the Fujimori administration",Elected Official,NA,NA
Luisa Maria Cuculiza,CUCULIZA,"Mayor of Lima Borja District 1993-1999, Minister of Women's Promotion and Social Development from 1999 to 2000",Elected Official,NA,NA
Juan Briones Davila,DAVILA,Minister of the Interior 1991-1997,Bureaucrat,NA,NA
Alipio Montes de Oca,MONTES DE OCA,Supreme Court Justice (Chief Justice),Judiciary,NA,NA
Luis Serpa Seguras,SERPA,President of Jurado Nacional de Elecciones,Judiciary,NA,NA
Victor Raul Castillo,CASTILLO,Supreme Court Justice,Judiciary,NA,NA
Jose Dellepiane Massa,DELLEPIANE,Executive Secretary of the Comisión Ejecutiva del Poder Judicial,Judiciary,NA,NA
Jaime Beltran Quiroga,BELTRAN,Judge,Judiciary,NA,NA
Javier Valle Riestra Gonzalez,VALLE RIESTRA,"Prime Minister of Peru from June-August 1998 (not from Fujimori's party, but a cautious cooperator)",Bureaucrat,NA,NA
Santander,SANTANDER,Advisor to Javier Valle Riestra (possibly chief of staff?),Bureaucrat,NA,NA
Romulo Munoz Arce,ARCE,Magistrate of the Jurado Nacional de Elecciones (JNE),Judiciary,NA,NA
Jose Garcia Marcelo,MARCELO,Magistrate of the Tribunal Constitucional,Judiciary,NA,NA
Walter Hernandez Canelo,HERNANDEZ CANELO,Magistrate of the Jurado Nacional de Elecciones (JNE),Judiciary,NA,NA
Juan Carlos Hurtado Miller,HURTADO MILLER,Fujimorist politician and candidate to mayor of Lima 1998,Bureaucrat,NA,NA
Daniel Borobio Guede,BOROBIO,Advisor and Publicist to Fujimori,Bureaucrat,NA,NA
Carlos Bringas,BRINGAS,Magistrate of the Jurado Nacional de Elecciones (JNE),Judiciary,NA,Multiple Carlos Bringas in Peruvian politics
Victor Ivachine,IVACHINE,Russian pilot,Foreign,NA,NA
General Jose Villanueva Ruesta,VILLANUEVA RUESTA,Military General; advisor and confidante of Montesinos,Security,NA,NA
Luis Venero Garrido,VENERO,"Brother of Alberto Venero Garrido, participated in organized crime and illegal pruchase of military equipment alongside Montesinos and Fujimori",Illicit,NA,NA
Coronel Roberto Huaman Azcurra,HUAMAN,Colonel and Intelligence Advisor,Security,NA,NA
Manuel Tafur Ruiz,TAFUR,Congressman,Congress,FIM,NA
Ernesto Gamarra Olivares,GAMARRA,Congressman with connections in El Comercio,Congress,AP,NA
Cecilia Valenzuela,VALENZUELA,Anti-fujimorist journalist,Media,NA,NA
Jamil Mahuad,MAHUAD,President-elect of Ecuador,Foreign,NA,NA
Julio Vera Gutierrez,VERA,Controlling shareholder of ATV,Media,NA,NA
Cesar Hildebrant,HILDEBRANT,Anti-fujimorist journalist,Media,NA,NA
Luis Iberico,IBERICO,Publicist at ATV,Media,NA,Multiple Luis Iberico in Peruvian politics
Jose Francisco Crousillat Carreno,CROUSILLAT CARRENO,TV producer with America Television,Media,NA,NA
Genaro Delgado Parker,GENARO DELGADO PARKER,Peruvian entrepreneur and founder of RPP,Media,NA,NA
Luis Bedoya de Vivanco,BEDOYA,Alcalde de Miraflores,Elected Official,NA,NA
Tomas Gonzales Reategui,REATEGUI,Ex-minister of the Presidency,Bureaucrat,NA,NA
Dionisio Romero Seminario,ROMERO SEMINARIO,Peruvian financeeer,Businessperson,NA,NA
General PNP Fernando Dianderas Ottone,DIANDERAS,General Director of the Police,Security,NA,NA
General EP Carlos Alberto Bergamino Cruz,BERGAMINO,Minister of Defense,Security,NA,NA
Embajadora,EMBAJADORA,Foreign Ambassador,Foreign,NA,NA
El/la Locutora,LOCUTOR,Unknown participant in 1604,Media,NA,NA
Ernesto Schutz Landazuri,SCHUTZ,Administrator of Panamerica Television,Media,NA,NA
Jorge Santistevan de Noriega,NORIEGA,Defensor del Pueblo,Judiciary,NA,NA
Eduardo Calmell del Solar,CALMELL,Member of the Chamber of Deputies,Congress,AP,NA
