n,speaker_std_1,speaker_std_2,speaker_std_3,speaker_std_4,speaker_std_5,speaker_std_6,speaker_std_7,speaker_std_8,speaker_std_9,speaker_std_10,speaker_std_11,speaker_std_12,speaker_std_13,speaker_std_14,speaker_std_15,speaker_std_16,speaker_std_17,speaker_std_18,speaker_std_19,speaker_std_20,speaker_std_21,speaker_std_22
1,GARCIA,BURNET,LEWIS,ALVA,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,PERCOVICH,DESCONOCIDO,LEWIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,LUPIS,BURNEI,LEWIS,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,LOCUTOR,MONCAYO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,MONTESINOS,MENENDEZ,BOROBIO,DESCONOCIDO,SOLIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,MONTESINOS,RICKETTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,VERA ABAD,MONTESINOS,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,FERRERO,MONTESINOS,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,MONTESINOS,ALEX KOURI,COLUNGE,DESCONOCIDO,HUAMAN,IBARCENA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,MONTESINOS,LUCCHETTI,HERNANDEZ CANELO,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,LUCCHETTI,MONTESINOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,MONTESINOS,AMERICANO,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,ISRAEL,MONTESINOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,MONTESINOS,LUCCHETTI,DESCONOCIDO,HERNANDEZ CANELO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,MONTESINOS,LOZADA,DESCONOCIDO,SALGADO,JOY WAY,TRELLES,MELLADO,ESPICHAN,VELIT,MEDELIUS,QUISPE,MARCENARO,PANDO,PANDOLFI,AMOIN,BLANCO,NA,NA,NA,NA,NA,NA
17,MONTESINOS,DESCONOCIDO,GUZMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,SAUCEDO SANCHEZ,MONTESINOS,HERMOZA,MACCAFFREY,BELLO VASQUEZ,DIANDERAS,IBARCENA,PANDOLFI,COSTA,DESCONOCIDO,VILLANUEVA RUESTA,AMERICANO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,CUCULIZA,MONTESINOS,DAVILA,FUJIMORI,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,MONTESINOS,MONTES DE OCA,CASTILLO,SERPA,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,DELLEPIANE,MONTESINOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,MONTESINOS,BELTRAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,MONTESINOS,JETT,COSTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,MONTESINOS,ARANCIBIA,IBARCENA,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,MONTESINOS,VALLE RIESTRA,SANTANDER,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,MONTESINOS,VALLE RIESTRA,SANTANDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,SANTANDER,MONTESINOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,MONTESINOS,BEDOYA,REATEGUI,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,DESCONOCIDO,HERNANDEZ CANELO,MONTESINOS,MARCELO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,DESCONOCIDO,ARCE,MONTESINOS,MEDELIUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,MILITAR DESCONOCIDO,MONTESINOS,BELLO VASQUEZ,SALAZAR,DESCONOCIDO,HERNANDEZ CANELO,PORTILLO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,HURTADO MILLER,BOROBIO,MONTESINOS,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,HURTADO MILLER,BOROBIO,MONTESINOS,DESCONOCIDO,RAMOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,MONTESINOS,JOY WAY,DESCONOCIDO,SERPA,BRINGAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
